Species,Formula,Average FID RT,Stdev FID RT,Average MS RT,Stdev MS RT
Isobutane,C4H10,1.2961,0.040148198,2.55767,0.002636517
"Butane, 2-methyl-",C5H12,1.4085,0.00083666,2.882771429,0.00097931
Pentane,C5H12,1.471111111,0.021350904,3.029322222,0.003362208
"Cyclopropane, 1,2-dimethyl-",C5H10,1.5216,0.011127543,3.18241,0.030355979
"Butane, 2,2-dimethyl-",,1.564142857,0.000690066,3.296785714,0.00386757
"Pentane, 2-methyl-",C6H14,1.695333333,0.001732051,3.655911111,0.006597243
"Pentane, 3-methyl-",C6H14,1.764111111,0.001166667,3.851744444,0.005689049
"1-Pentene, 2-methyl-",C6H12,1.802571429,0.0009759,3.971828571,0.006934627
n-Hexane,C6H14,1.854888889,0.000781736,4.120222222,0.006965052
"1-Butene, 2,3-dimethyl-",C6H12,1.911333333,0.000816497,4.2942,0.003000667
"2-Pentene, 4-methyl-",C6H12,1.912333333,0.00057735,4.306233333,0.007225187
"2-Pentene, 3-methyl-",C6H12,1.9996,0.001140175,4.56948,0.00924754
"Pentane, 2,4-dimethyl-",C7H16,2.041625,0.00106066,4.6958125,0.008264457
"2-Pentene, 2,4-dimethyl-",C7H14,2.252833333,0.001602082,5.403483333,0.01104598
Cyclohexane,C6H12,2.314333333,0.003785939,5.563533333,0.014654806
"Hexane, 2-methyl-",C7H16,2.348777778,0.003270236,5.675977778,0.013669928
"Hexane, 3-methyl-",C7H16,2.429625,0.00192261,5.9149,0.011416905
"Cyclopentane, 1,3-dimethyl-, cis or trans",C7H14,2.513,0,6.14888,0.009482985
"Cyclopentane, 1,3-dimethyl-, cis or trans",C7H14,2.54075,0.001258306,6.225675,0.01101949
Heptane,C7H16,2.676444444,0.001424001,6.603533333,0.010774855
"2-Pentene, 3,4-dimethyl-, Z&E",C7H14,2.857333333,0.00121106,7.067416667,0.012017889
"Cyclohexane, methyl-",C7H14,2.936777778,0.000666667,7.234877778,0.00976304
"Hexane, 2,5-dimethyl-",C8H18,3.031555556,0.001424001,7.473688889,0.010405941
"Hexane, 2,4-dimethyl-",C8H18,3.055714286,0.001253566,7.528542857,0.010960666
"Cyclopentane, 1,2,4-trimethyl-",C8H16,3.146666667,0.000516398,7.7262,0.011844492
"Pentane, 2,3,4-trimethyl-",C8H18,3.267,0,7.991,0.009885343
"Hexane, 2,3-dimethyl-",C8H18,3.4055,0.001069045,8.275575,0.010747724
"Heptane, 2-methyl-",C8H18,3.483111111,0.001833333,8.431144444,0.010630041
"Heptane, 3-methyl-",C8H18,3.589333333,0.001118034,8.636344444,0.009948129
"Hexane, 2,2,5-trimethyl-",C9H20,3.7158,0.00083666,8.879,0.009588535
"Cyclohexane, 1,1-dimethyl-",C8H16,3.76125,0.0005,8.961575,0.008933971
"Cyclohexane, 1,2-dimethyl-",C8H16,3.9252,0.00130384,9.2559,0.009598177
Octane,C8H18,3.971333333,0.001032796,9.329966667,0.007782716
"Cyclohexane, 1,4-dimethyl-",C8H16,4.037,0.000894427,9.44875,0.010199363
"Hexane, 2,2,5-trimethyl-",C9H20,4.2418,0.00083666,9.7871,0.009300806
"Heptane, 2,4-dimethyl-",C9H20,4.302833333,0.000983192,9.881166667,0.010051202
"Octane, 2-methyl-",C9H20,4.401666667,0.00136626,10.03815,0.009326468
"Cyclohexane, ethyl-",C8H16,4.466,0.000707107,10.15122,0.00935425
"Heptane, 2,5-dimethyl-",C9H20,4.506,0.000632456,10.19681667,0.009223322
"1,1,4-Trimethylcyclohexane",C9H18,4.54475,0.000957427,10.2784,0.008940544
"6,6-Dimethylhepta-2,4-diene",C9H16,4.608,0.001,10.3589,0.005467175
"Heptane, 3,4,5-trimethyl",C10H22,4.682333333,0.001527525,10.47576667,0.007993956
"Octane, 2-methyl-",C9H20,4.967142857,0.001345185,10.86957143,0.009094818
"Benzene, 1,3-dimethyl-",C8H10,5.0364,0.001140175,10.9973,0.009870917
"Octane, 3-methyl-",C9H20,5.075166667,0.000983192,11.02298333,0.00908018
Nonane,C9H20,5.52625,0.0005,11.628025,0.007762893
"Octane, 2,5-dimethyl-",C10H22,5.92525,0.0005,12.1338,0.008843453
"Octane, 2,7-dimethyl-",C10H22,5.99375,0.000957427,12.216575,0.008146727
"Octane, 3,6-dimethyl-",C10H22,6.068,0.000816497,12.31185,0.007827516