Carbon Number,Compound Name,RF,RF Source
1,Methane,1744.065,Calgas average
2,General,3456.49,Calgas average
3,General,4637,Calgas average
4,Butane,6852.725,Calgas average
4,Isobutane,6852.725,Calgas average
5,General,8557.35,Extrapolated from Calgas
6,General,10259.37,Extrapolated from Calgas
7,General,11961.39,Extrapolated from Calgas
8,General,13663.41,Extrapolated from Calgas
9,General,15365.43,Extrapolated from Calgas
10,General,17067.45,Extrapolated from Calgas
11,General,18769.47,Extrapolated from Calgas
12,General,20471.49,Extrapolated from Calgas
13,General,22173.51,Extrapolated from Calgas
14,General,23875.53,Extrapolated from Calgas
15,General,25577.55,Extrapolated from Calgas
16,General,27279.57,Extrapolated from Calgas
17,General,28981.59,Extrapolated from Calgas
18,General,30683.61,Extrapolated from Calgas
19,General,32385.63,Extrapolated from Calgas
20,General,34087.65,Extrapolated from Calgas